Sr. No.,Code,Algorithm
1,"num1 = 15 num2 = 12 sum = num1 + num2 print(""Sum of {0} and {1} is {2}"" .format(num1, num2, sum))","Step 1: Read A , B Step 2: Let Sum= A+B Step 3: Print Sum Step 4: Stop."
2,"num1 = 15 num2 = 12 prod = num1 * num2 print(""Prod of {0} and {1} is {2}"" .format(num1, num2, prod))","Step 1: Read A , B Step 2: Let Product=A*B Step 3: Print Product Step 4: Stop."
3,x = 5 y = 10 temp = x x = y y = temp print('The value of x after swapping: {}'.format(x)),"[Initialize the variables] A = 2 B = 3 2. [Peform the operations] TEMP = A A = B B = TEMP 3. [Print the result] Print A, B 4. [Finished] Stop"
4,"x = 5 y = 10 x, y = y, x print(""x ="", x) print(""y ="", y)","1. [Initialize the variables] A = 2 B = 3 2. x,y=y,x 3. [Print the result] Print A, B 4. [Finished] Stop"
5,"a=[] n=int(input(""Enter number of elements:"")) for i in range(1,n+1): b=int(input(""Enter element:"")) a.append(b) a.sort() print(""Largest element is:"",a[n-1])",1. Take in the number of elements and store it in a variable. 2. Take in the elements of the list one by one. 3. Sort the list in ascending order. 4. Print the last element of the list. 5. Exit.
6,"def maximum(a, b): if a >= b: return a else: return b a = 2 b = 4 print(maximum(a, b))","Ask the user to enter two integer values. Read the two integer values in num1 and num2 (integer variables). Check if num1 is greater than num2. If true, then print ?num1? as the greatest number. If false, then print ?num2? as the greatest number."
7,"def factorial(n): return 1 if (n==1 or n==0) else n * factorial(n - 1) num = 5 print(""Factorial of"",num,""is"",factorial(num))","Start program Ask the user to enter an integer to find the factorial Read the integer and assign it to a variable From the value of the integer up to 1, multiply each digit and update the final value The final value at the end of all the multiplication till 1 is the factorial End program"
8,"def simple_interest(p,t,r): print('The principal is', p) print('The time period is', t) print('The rate of interest is',r) si = (p * t * r)/100 print('The Simple Interest is', si) return si simple_interest(8, 6, 8)","Store the values of the Principal, Time, and the Rate in the particular data types. Now use this formula (P * R * T) / 100 to calculate the simple interest. The P is the principal, R is the rate of interest, and the T is the total period of time. The calculated value from the above expression is the Simple interest."
9,"def compound_interest(principal, rate, time): Amount = principal * (pow((1 + rate / 100), time)) CI = Amount - principal print(""Compound interest is"", CI) compound_interest(10000, 10.25, 5)","Step 1: Start  Step 2: Read 3 number for p, n, r Step 3: Calculate C.I = p ? (1 + r/100)n ? p Step 4: Print ?The compound Interest = C.l?  Step 5: Stop"
10,def is_armstrong(num): num_str = str(num) n = len(num_str) sum = 0 for digit in num_str: sum += int(digit)**n if sum == num: return True else: return False num=153 print(is_armstrong(num)),"Step 1: Start Step 2: Declare Variable sum, temp, num Step 3: Read num from User Step 4: Initialize Variable sum=0 and temp=num Step 5: Repeat Until num>=0 5.1 sum=sum + cube of last digit i.e [(num%10)*(num%10)*(num%10)] 5.2 num=num/10 Step 6: IF sum==temp Print ""Armstrong Number"" ELSE Print ""Not Armstrong Number"" Step 7: Stop"
11,"def findArea(r): PI = 3.142 return PI * (r*r); print(""Area is %.6f"" % findArea(5));","STEP 1: Take radius as input from the user using std input. STEP 2: Calculate the area of circle using, area = (3.14)*r*r STEP 3: Print the area to the screen using the std output."
12,"num = 11 if num > 1: for i in range(2, int(num/2)+1): between if (num % i) == 0: print(num, ""is not a prime number"") break else: print(num, ""is a prime number"") else: print(num, ""is not a prime number"")","STEP 1: Take num as input. STEP 2: Initialize a variable temp to 0. STEP 3: Iterate a ?for? loop from 2 to num/2. STEP 4: If num is divisible by loop iterator, then increment temp. STEP 5: If the temp is equal to 0, Return ?Num IS PRIME? Else, Return ?Num IS NOT PRIME?.   "
13,"c = 'g' print(""The ASCII value of '"" + c + ""' is"", ord(c))",1. assign character to char 2. print ASCII value of  c is ord(c))
14,"def squaresum(n): sm = 0 for i in range(1, n+1): sm = sm + (i * i) return sm n = 4 print(squaresum(n))","Step 1: Read N. Step 2 : Let ctr = 0, sum = 0. Step 3: Read Num. Step 4 : ctr = ctr + 1. Step 5: Compute the square of the number i.e., = sqr (Num * Num). Step 6 : sum = sum * sqr. Step 7: If ctr is less than N then repeat steps 3 to 6.  Step 8: Print sum. Step 9: End."
15,"def _sum(arr): sum = 0 for i in arr: sum = sum + i return(sum) if __name__ == ""__main__"": arr = [12, 3, 4, 15] n = len(arr) ans = _sum(arr print('Sum of the array is ', ans)","STEP 1: START STEP 2: INITIALIZE arr[] = {1, 2, 3, 4, 5} STEP 3: SET sum = 0 STEP 4: length= sizeof(arr)/sizeof(arr[0]) STEP 5: SET i=0. REPEAT STEP 6 and STEP 7 UNTIL i<length STEP 6: sum = sum + arr[i] STEP 7: i=i+1. STEP 8: PRINT ""Sum of all the elements of an array:"" by assigning sum. STEP 9: RETURN 0. STEP 10: END."
16,"def largest(arr, n): for i in range(1, n): if arr[i] > max: max = arr[i] return max arr = [10, 324, 45, 90, 9808] n = len(arr) Ans = largest(arr, n) print(""Largest in given array "", Ans)","STEP 1: START STEP 2: INITIALIZE arr[] = {25, 11, 7, 75, 56} STEP 3: max = arr[0] STEP 4: REPEAT STEP 5 for(i=0; i< arr.length; i++) STEP 5: if(arr[i]>max) max=arr[i] STEP 6: PRINT ""Largest element in given array:"" STEP 7: PRINT max STEP 8: END"
17,"def rotateArray(arr, n, d): temp = [] i = 0 while (i < d): temp.append(arr[i]) i = i + 1 i = 0 while (d < n): arr[i] = arr[d] i = i + 1 d = d + 1 arr[:] = arr[: i] + temp return arr arr = [1, 2, 3, 4, 5, 6, 7] print(""Array after left rotation is: "", end=' ') print(rotateArray(arr, len(arr), 2))","1) Store d elements in a temp array temp[] = [1, 2] 2) Shift rest of the arr[] arr[] = [3, 4, 5, 6, 7, 6, 7] 3) Store back the d elements arr[] = [3, 4, 5, 6, 7, 1, 2]"
18,"def isPalindrome(s): return s == s[::-1] s = ""malayalam"" ans = isPalindrome(s) if ans: print(""Yes"") else: print(""No"")",Step 1. Start Step 2. Read the string from the user Step 3. Calculate the length of the string Step 4. Initialize rev = ? ?   [empty string] Step 5. Initialize i = length - 1  Step 6. Repeat until i>=0: 6.1: rev = rev + Character at position ?i? of the string 6.2: i = i ? 1 Step 7. If string = rev: 7.1: Print ?Given string is palindrome? Step 8. Else: 8.1: Print ?Given string is not palindrome? Step 9. Stop
19,"string = ""geeks quiz practice code"" s = string.split()[::-1] l = [] for i in s: l.append(i) print("" "".join(l))","1. Convert the string into an array of strings, which will store the words. 2. Initialize the 2 pointers left and right to 0 and string.length() ? 1 respectively. 3. While the left pointer does not exceed the right pointer, swap the elements at the left and right pointer, move the left pointer forward and the right pointer backward by 1 place. 4. return the final calculated string."
